# Public user-facing types: symbol | declaration source | guide page
Matrix|src/lib.rs|docs/getting-started.md
RowVector|src/lib.rs|docs/getting-started.md
Vector|src/lib.rs|docs/getting-started.md
Matrix2|src/lib.rs|docs/getting-started.md
Matrix3|src/lib.rs|docs/getting-started.md
Matrix4|src/lib.rs|docs/getting-started.md
MatrixBuf|src/bounded.rs|docs/API_USAGE.md
MatrixBufView|src/bounded.rs|docs/API_USAGE.md
MatrixBufViewMut|src/bounded.rs|docs/API_USAGE.md
Block|src/view.rs|docs/API_USAGE.md
BlockMut|src/view.rs|docs/API_USAGE.md
Map|src/view.rs|docs/API_USAGE.md
MapMut|src/view.rs|docs/API_USAGE.md
StridedMap|src/view.rs|docs/API_USAGE.md
StridedMapMut|src/view.rs|docs/API_USAGE.md
Row|src/view.rs|docs/API_USAGE.md
Column|src/view.rs|docs/API_USAGE.md
Cholesky|src/algebra/cholesky.rs|docs/API_USAGE.md
Ldlt|src/algebra/ldlt.rs|docs/API_USAGE.md
PartialPivLu|src/algebra/lu.rs|docs/API_USAGE.md
HouseholderQr|src/algebra/qr.rs|docs/API_USAGE.md
ColPivHouseholderQr|src/algebra/qr.rs|docs/API_USAGE.md
Svd|src/algebra/svd.rs|docs/API_USAGE.md
SelfAdjointEigen|src/algebra/eigen.rs|docs/API_USAGE.md
SelfAdjointView|src/algebra/self_adjoint.rs|docs/API_USAGE.md
LowerTriangular|src/algebra/triangular.rs|docs/API_USAGE.md
UpperTriangular|src/algebra/triangular.rs|docs/API_USAGE.md
Quaternion|src/geometry.rs|docs/tutorials.md
AngleAxis|src/geometry.rs|docs/tutorials.md
RotationMatrix|src/geometry.rs|docs/tutorials.md
Isometry|src/geometry.rs|docs/tutorials.md
AffineTransform|src/geometry.rs|docs/tutorials.md
StaticCscPattern|src/sparse/storage.rs|docs/API_USAGE.md
StaticCscMatrix|src/sparse/storage.rs|docs/API_USAGE.md
StaticCscOrdering|src/sparse/ordering.rs|docs/FEATURES.md
StaticCscCholeskyPattern|src/sparse/cholesky.rs|docs/API_USAGE.md
StaticCscCholesky|src/sparse/cholesky.rs|docs/API_USAGE.md
StaticCscLdltPattern|src/sparse.rs|docs/API_USAGE.md
StaticCscLdlt|src/sparse/ldlt.rs|docs/API_USAGE.md
StaticCscLdltFactor|src/sparse/ldlt.rs|docs/FEATURES.md
StaticBlockCscMatrix|src/block_sparse.rs|docs/API_USAGE.md
StaticBlockCsrMatrix|src/block_sparse.rs|docs/API_USAGE.md
StaticBlockCscCholeskyPattern|src/block_sparse.rs|docs/FEATURES.md
StaticBlockCscCholesky|src/block_sparse.rs|docs/FEATURES.md
StaticBlockCscLdltPattern|src/block_sparse.rs|docs/FEATURES.md
StaticBlockCscLdlt|src/block_sparse.rs|docs/API_USAGE.md
